step,epoch,loss,ce,dice,lr
20,1,3.29996,2.81121,0.97749,4.2000000000000004e-06
40,1,3.26983,2.77982,0.98003,8.2e-06
60,1,3.17133,2.68251,0.97763,1.22e-05
80,1,3.04408,2.55771,0.97275,1.62e-05
100,1,2.92454,2.43908,0.97092,2.02e-05
120,1,2.62779,2.14446,0.96667,2.42e-05
140,1,2.35834,1.87984,0.95701,2.8199999999999998e-05
160,1,2.13696,1.66325,0.94742,3.22e-05
180,1,1.95417,1.48324,0.94186,3.6200000000000006e-05
200,1,1.72577,1.25917,0.9332,4.02e-05
220,1,1.70895,1.24277,0.93236,4.4200000000000004e-05
240,1,1.45202,1.00386,0.89632,4.82e-05
260,1,1.43062,0.98737,0.8865,5.22e-05
280,1,1.2793,0.84061,0.87739,5.62e-05
300,1,1.1526,0.71449,0.87622,6e-05
320,1,1.00277,0.57938,0.84676,5.9979818365287594e-05
340,1,0.96225,0.54686,0.83079,5.995963673057518e-05
360,1,0.9615,0.54759,0.82781,5.993945509586277e-05
380,1,0.90013,0.50045,0.79936,5.991927346115036e-05
400,1,0.854,0.45394,0.80013,5.9899091826437943e-05
420,1,0.77711,0.38873,0.77675,5.987891019172553e-05
440,1,0.72299,0.35255,0.74088,5.985872855701312e-05
460,1,0.7731,0.40832,0.72955,5.983854692230071e-05
480,1,0.82703,0.46555,0.72296,5.98183652875883e-05
500,1,0.64433,0.29575,0.69715,5.9798183652875885e-05
520,1,0.63094,0.29159,0.6787,5.977800201816348e-05
540,1,0.53914,0.20377,0.67076,5.9757820383451063e-05
560,1,0.65137,0.32355,0.65563,5.973763874873865e-05
580,1,0.71553,0.38416,0.66274,5.9717457114026235e-05
600,1,0.65542,0.33698,0.63687,5.969727547931383e-05
620,1,0.62404,0.31897,0.61014,5.967709384460141e-05
640,1,0.61755,0.29394,0.64723,5.9656912209889005e-05
660,1,0.57014,0.25153,0.63723,5.963673057517659e-05
680,1,0.55129,0.27384,0.55489,5.9616548940464183e-05
700,1,0.57529,0.2461,0.65838,5.959636730575177e-05
720,1,0.75527,0.45052,0.6095,5.957618567103936e-05
740,1,0.49775,0.21143,0.57264,5.955600403632694e-05
760,1,0.54779,0.25921,0.57717,5.953582240161453e-05
780,1,0.50296,0.2557,0.49451,5.951564076690212e-05
800,1,0.43451,0.18031,0.5084,5.949545913218971e-05
820,1,0.51186,0.20991,0.6039,5.94752774974773e-05
840,1,0.45485,0.19423,0.52123,5.945509586276489e-05
860,1,0.46733,0.17178,0.5911,5.9434914228052475e-05
880,1,0.57198,0.30384,0.53628,5.941473259334007e-05
900,1,0.6849,0.34989,0.67002,5.9394550958627646e-05
920,1,0.41572,0.15617,0.51912,5.937436932391524e-05
940,1,0.64754,0.34013,0.61481,5.9354187689202824e-05
960,1,0.36829,0.13247,0.47163,5.933400605449042e-05
980,1,0.41667,0.14252,0.54829,5.9313824419778e-05
1000,1,0.53134,0.25791,0.54686,5.9293642785065595e-05
1020,1,0.50436,0.25529,0.49813,5.927346115035318e-05
1040,1,0.52874,0.26659,0.5243,5.925327951564077e-05
1060,1,0.42705,0.17313,0.50784,5.923309788092835e-05
1080,1,0.53477,0.25422,0.5611,5.9212916246215944e-05
1100,1,0.3957,0.15192,0.48756,5.919273461150353e-05
1120,1,0.49889,0.19093,0.61592,5.917255297679112e-05
1140,1,0.54059,0.27201,0.53715,5.915237134207871e-05
1160,1,0.4826,0.24556,0.47408,5.91321897073663e-05
1180,1,0.4546,0.22049,0.46821,5.9112008072653886e-05
1200,1,0.36408,0.15658,0.41501,5.909182643794148e-05
1220,1,0.37177,0.14593,0.45167,5.9071644803229064e-05
1240,1,0.60908,0.35071,0.51673,5.905146316851665e-05
1260,1,0.57623,0.27857,0.59533,5.9031281533804236e-05
1280,1,0.74014,0.46463,0.55102,5.901109989909183e-05
1300,1,0.48522,0.1945,0.58143,5.8990918264379414e-05
1320,1,0.37775,0.14316,0.46918,5.8970736629667006e-05
1340,1,0.51963,0.26761,0.50403,5.895055499495459e-05
1360,1,0.45393,0.21774,0.47238,5.8930373360242184e-05
1380,1,0.50248,0.22937,0.54623,5.891019172552977e-05
1400,1,0.4371,0.20377,0.46665,5.8890010090817356e-05
1420,1,0.39968,0.14436,0.51064,5.886982845610494e-05
1440,1,0.51131,0.24683,0.52896,5.8849646821392534e-05
1460,1,0.45384,0.20979,0.4881,5.882946518668012e-05
1480,1,0.4245,0.19745,0.45409,5.880928355196771e-05
1500,1,0.42572,0.17748,0.49648,5.87891019172553e-05
1520,1,0.29646,0.10589,0.38114,5.876892028254289e-05
1540,1,0.40404,0.18188,0.44434,5.8748738647830476e-05
